x,y,z,abs_datetime,milliseconds,time_diff,x_deg,y_deg,x_deg_diff,y_deg_diff,dist_deg,velocity_deg_s,avg_velocity_deg_s
0.214982,0.897665,0.0,2025-01-23 15:20:03.190,242.0,128.0,-19.951259999999998,27.836550000000003,0.18354000000000426,-0.40865999999999403,0.4479842934746671,3.499877292770837,40.69961463229585
0.252739,0.894466,0.0,2025-01-23 15:20:03.315,367.0,125.0,-17.30827,27.61262,2.6429899999999975,-0.22393000000000285,2.652459384231922,21.219675073855377,40.69961463229585
0.335409,0.897208,0.0,2025-01-23 15:20:03.438,490.0,123.0,-11.52137,27.804560000000002,5.786900000000001,0.19194000000000244,5.790082259657458,47.07383950941023,40.69961463229585
0.342978,0.892995,0.0,2025-01-23 15:20:03.560,612.0,122.0,-10.99154,27.50965,0.5298299999999987,-0.29491000000000156,0.6063759040397297,4.970294295407621,40.69961463229585
0.158098,0.719873,0.0,2025-01-23 15:20:03.682,734.0,122.0,-23.93314,15.39111,-12.941600000000001,-12.118540000000001,17.729749639845455,145.3258167200447,40.69961463229585
0.159553,0.718457,0.0,2025-01-23 15:20:03.805,857.0,123.0,-23.83129,15.29199,0.10185000000000244,-0.09911999999999921,0.14212036061029518,1.1554500862625623,40.69961463229585
0.165488,0.712752,0.0,2025-01-23 15:20:03.927,979.0,122.0,-23.415840000000003,14.892640000000004,0.4154499999999963,-0.39934999999999654,0.5762630692661072,4.723467780869731,40.69961463229585
0.158934,0.715075,0.0,2025-01-23 15:20:04.049,1101.0,122.0,-23.87462,15.055250000000001,-0.4587799999999973,0.16260999999999726,0.48674541651668035,3.989716528825249,40.69961463229585
0.307088,0.70162,0.0,2025-01-23 15:20:04.171,1223.0,122.0,-13.503839999999999,14.113400000000002,10.370780000000002,-0.9418499999999987,10.413460482995076,85.35623346717274,40.69961463229585
0.323177,0.692945,0.0,2025-01-23 15:20:04.293,1345.0,122.0,-12.37761,13.506150000000002,1.1262299999999978,-0.6072500000000005,1.2795102873365245,10.487789240463314,40.69961463229585
