,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Group,,,,,,,,,,,,,,,,,,,,,,,,
AD,100.0,0.04432927511036227,0.01490324290596627,0.0249198853094957,0.0339427668456676,0.041024382967771444,0.04879169865695138,0.1021436184117919,100.0,0.4551676680703475,0.09404887266245422,0.3080110497237569,0.3956603994068534,0.43968372945712386,0.4952764593522993,0.7305122494432071,100.0,1.829182307829684,0.41505675179743695,0.8009453301700576,1.555352644998706,1.7999887857219705,2.0990561629411575,3.0088155213320857
Control,100.0,0.10282300249493594,0.068294850632999,0.0488888888888888,0.06315265499141372,0.07505140572731919,0.1043343386879986,0.3840880102040816,100.0,0.6790846550842947,0.11534105392307725,0.3087248322147651,0.6388981985756179,0.6784636691892961,0.7546895004522123,0.9106417546709992,100.0,2.402478512715361,0.6081673211448044,0.9182958340544896,1.9854296351878098,2.501572736529655,2.8544825843660053,3.7927537052565214
MCI,105.0,0.07207633656044382,0.03394160657984871,0.0287136501736111,0.0480158459121644,0.0653764973547874,0.0836873989199857,0.2193755739210284,105.0,0.5350054749747114,0.12675642161709572,0.3027360988526037,0.4326841659610499,0.521768251841929,0.608433734939759,0.8869427948583026,105.0,2.0429467290597416,0.5655342603282124,0.7219280948873623,1.6858157091530304,1.9544152309615224,2.4680587805403933,3.8246638695736217
