,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Group,,,,,,,,,,,,,,,,,,,,,,,,
AD,100.0,0.06801706069532779,0.021416319720011626,0.0386911004748193,0.053009449088884976,0.0633194703662497,0.07565457747413713,0.1435983028011824,100.0,0.7257393182849005,0.07445972321494716,0.5669673837612769,0.6768773236686549,0.7210142492270466,0.769059788939307,0.9291415768099706,100.0,1.955636833993986,0.3586911479483369,1.2661291183119792,1.7299573691514971,1.8993682488769386,2.121070694473672,3.053131136541015
Control,100.0,0.1426196202591484,0.1007904416491757,0.0594444444444444,0.08288354866691015,0.0991776355512619,0.14068439750995382,0.5318877551020408,100.0,0.8833749459758572,0.06758190301610746,0.630057803468208,0.8629445449065702,0.8971127254442725,0.9296712186410039,0.97698091974014,100.0,2.716379979116794,0.6102114680261717,1.215792355332446,2.345742102244783,2.666512797952721,3.046998352459976,4.236758662250248
MCI,105.0,0.10580709680201263,0.0528966628184786,0.0474446614583333,0.0722628235776244,0.0959183673469387,0.1185798816568047,0.3502708907254361,105.0,0.8011532393315332,0.08263239340215153,0.559322033898305,0.7381615598885793,0.7909604519774012,0.8658008658008658,0.9650229016715246,105.0,2.2088339060101365,0.6001361137185637,0.7851515777256601,1.8003068161865687,2.090937933016672,2.581591622963841,3.809107866706868
