x,y,z,abs_datetime,milliseconds,time_diff,x_deg,y_deg,x_deg_diff,y_deg_diff,dist_deg,velocity_deg_s,avg_velocity_deg_s
0.145104,0.78531,0.0,2025-01-23 15:21:10.645,245.0,123.0,-22.74272,29.7717,0.0355600000000038,-1.771069999999998,1.77142695545145,14.401845166271952,38.033019623519685
0.098935,0.7748659999999999,0.0,2025-01-23 15:21:10.767,367.0,122.0,-25.97455,29.04062,-3.231829999999998,-0.7310800000000022,3.313488058723012,27.159738186254195,38.033019623519685
0.090794,0.785165,0.0,2025-01-23 15:21:10.889,489.0,122.0,-26.54442,29.76155,-0.5698700000000017,0.7209300000000027,0.918962394116324,7.532478640297736,38.033019623519685
0.27378899999999995,0.785179,0.0,2025-01-23 15:21:11.011,611.0,122.0,-13.73477,29.76253,12.809649999999998,0.0009799999999984,12.80965003748736,104.99713145481444,38.033019623519685
0.33014299999999996,0.767586,0.0,2025-01-23 15:21:11.133,733.0,122.0,-9.78999,28.53102,3.94478,-1.2315099999999966,4.132542332330062,33.87329780598412,38.033019623519685
0.34604999999999997,0.775317,0.0,2025-01-23 15:21:11.256,856.0,123.0,-8.6765,29.072190000000003,1.1134900000000003,0.541170000000001,1.2380326930255123,10.065306447361888,38.033019623519685
0.208435,0.619154,0.0,2025-01-23 15:21:11.378,978.0,122.0,-18.30955,18.14078,-9.633049999999995,-10.931410000000003,14.57022226634172,119.42805136345672,38.033019623519685
0.12029300000000001,0.5866669999999999,0.0,2025-01-23 15:21:11.500,1100.0,122.0,-24.47949,15.866689999999997,-6.16994,-2.274090000000003,6.575685890589667,53.89906467696448,38.033019623519685
0.10808400000000001,0.588074,0.0,2025-01-23 15:21:11.622,1222.0,122.0,-25.33412,15.96518,-0.8546300000000038,0.0984900000000035,0.8602864156779456,7.0515279973602105,38.033019623519685
0.10416900000000001,0.572256,0.0,2025-01-23 15:21:11.744,1344.0,122.0,-25.60817,14.85792,-0.274049999999999,-1.10726,1.1406700268263386,9.349754318248678,38.033019623519685
0.32940100000000005,0.606136,0.0,2025-01-23 15:21:11.867,1467.0,123.0,-9.841929999999998,17.22952,15.766240000000003,2.371600000000001,15.94361346425584,129.6228736931369,38.033019623519685
0.33594500000000005,0.591915,0.0,2025-01-23 15:21:11.989,1589.0,122.0,-9.38385,16.23405,0.4580799999999989,-0.995470000000001,1.0958092020511605,8.98204263976361,38.033019623519685
0.40723200000000004,0.59667,0.0,2025-01-23 15:21:12.112,1712.0,123.0,-4.393759999999999,16.566900000000004,4.99009,0.3328500000000041,5.001178594151583,40.65998857033807,38.033019623519685
0.450805,0.612272,0.0,2025-01-23 15:21:12.234,1834.0,122.0,-1.3436500000000011,17.659040000000005,3.0501099999999983,1.0921400000000006,3.2397439392180347,26.55527819031176,38.033019623519685
0.11879400000000001,0.274491,0.0,2025-01-23 15:21:12.478,2078.0,122.0,-24.58442,-5.9856300000000005,0.1099700000000005,-4.332090000000003,4.333485568107967,35.52037350908169,38.033019623519685
0.04190000000000001,0.172203,0.0,2025-01-23 15:21:12.600,2200.0,122.0,-29.967,-13.14579,-5.382579999999997,-7.160159999999999,8.95768154613681,73.42361923062958,38.033019623519685
0.129363,0.16477799999999998,0.0,2025-01-23 15:21:12.722,2322.0,122.0,-23.84459,-13.66554,6.122410000000002,-0.5197500000000002,6.144431972981719,50.36419649985015,38.033019623519685
0.272705,0.3373,0.0,2025-01-23 15:21:12.844,2444.0,122.0,-13.81065,-1.589,10.033939999999998,12.07654,15.701043605289426,128.69707873188054,38.033019623519685
0.28690400000000005,0.3842,0.0,2025-01-23 15:21:12.966,2566.0,122.0,-12.816719999999998,1.694,0.9939300000000006,3.283,3.430158282776467,28.116051498167764,38.033019623519685
0.281915,0.378695,0.0,2025-01-23 15:21:13.089,2689.0,123.0,-13.16595,1.3086500000000012,-0.3492300000000021,-0.3853499999999987,0.5200540504601426,4.22808171105807,38.033019623519685
0.426536,0.354325,0.0,2025-01-23 15:21:13.211,2811.0,122.0,-3.0424800000000003,-0.397249999999999,10.12347,-1.7059000000000002,10.266194019737792,84.14913130932617,38.033019623519685
0.44407700000000006,0.359021,0.0,2025-01-23 15:21:13.333,2933.0,122.0,-1.8146099999999985,-0.0685300000000005,1.227870000000002,0.3287199999999984,1.2711103710142575,10.418937467329982,38.033019623519685
0.393536,0.357635,0.0,2025-01-23 15:21:13.456,3056.0,123.0,-5.352479999999998,-0.1655500000000004,-3.53787,-0.0970199999999998,3.5392000533030057,28.77398417319517,38.033019623519685
0.38632599999999995,0.347231,0.0,2025-01-23 15:21:13.578,3178.0,122.0,-5.857180000000001,-0.8938299999999982,-0.5047000000000033,-0.7282799999999978,0.886066503373195,7.2628401915835665,38.033019623519685
0.30080799999999996,0.300327,0.0,2025-01-23 15:21:13.822,3422.0,244.0,-11.84344,-4.177109999999998,-5.98626,-3.28328,6.827535158898854,27.981701470896944,38.033019623519685
0.300315,0.353054,0.0,2025-01-23 15:21:13.944,3544.0,122.0,-11.877949999999998,-0.4862200000000005,-0.0345099999999973,3.690889999999998,3.691051331558528,30.25451911113548,38.033019623519685
0.33221199999999995,0.39411699999999994,0.0,2025-01-23 15:21:14.067,3667.0,123.0,-9.64516,2.3881899999999967,2.232789999999998,2.874409999999997,3.639723070811841,29.591244478145047,38.033019623519685
0.398582,0.39652299999999996,0.0,2025-01-23 15:21:14.189,3789.0,122.0,-4.999259999999999,2.5566099999999983,4.645900000000002,0.1684200000000015,4.648951721237813,38.10616164949027,38.033019623519685
