,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Group,,,,,,,,,,,,,,,,,,,,,,,,
AD,100.0,0.046532822913281306,0.015597382400313286,0.0265854275594535,0.03583509080985315,0.042915479195859155,0.05179158107875618,0.1067184138028112,100.0,0.6824463021436417,0.0743663384552963,0.5249818971759594,0.6335469648881442,0.6808785862193789,0.7219800406228086,0.8817599397022801,100.0,1.781618091487239,0.3522506697319107,1.003848520839026,1.566398333885927,1.733172168026891,1.9035733620700053,2.745389909104115
Control,100.0,0.10683158364498248,0.07198601670071904,0.0488888888888888,0.06532019926349769,0.0774705856882496,0.10869482743669787,0.4008689413265306,100.0,0.8480473496104743,0.07290106646925203,0.6268656716417911,0.8284229742429661,0.8584609694132386,0.897315800912845,0.9596448748991122,100.0,2.411203493830893,0.5719986689980037,0.8343470230852538,2.0645193511797344,2.4444643712716756,2.7432603732720664,3.7848595980807342
MCI,105.0,0.07535682906105542,0.035846260470185125,0.0305718315972222,0.0503722423331739,0.0672,0.0874153669033195,0.2325206611570248,105.0,0.7555520706238812,0.08486701527492409,0.5904682737600443,0.6945107398568019,0.7454545454545455,0.8073394495412844,0.9490427313096018,105.0,1.9932838234007084,0.5346458959666913,0.7843006105520056,1.6609812266512205,1.899740965866328,2.3335491188131505,3.681706391718528
